Episode: 221, Score: -558.4, Steps: 12, Coins: 0, Invalid Moves: 3, Bombs Dropped: 2
Episode: 222, Score: -445.8, Steps: 4, Coins: 0, Invalid Moves: 2, Bombs Dropped: 1
Episode: 223, Score: -370.75, Steps: 5, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 224, Score: -302.7, Steps: 6, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 225, Score: -370.75, Steps: 5, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 226, Score: -370.75, Steps: 5, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 227, Score: -415.75, Steps: 5, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 228, Score: -400.8, Steps: 4, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 229, Score: -400.7, Steps: 6, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 230, Score: -416.3, Steps: 14, Coins: 0, Invalid Moves: 1, Bombs Dropped: 2
Episode: 231, Score: -310.7, Steps: 6, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 232, Score: -460.7, Steps: 6, Coins: 0, Invalid Moves: 2, Bombs Dropped: 1
Episode: 233, Score: -310.7, Steps: 6, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 234, Score: -325.65, Steps: 7, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 235, Score: -355.7, Steps: 6, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 236, Score: -317.34999999999997, Steps: 13, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 237, Score: -370.75, Steps: 5, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 238, Score: -310.7, Steps: 6, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 239, Score: -370.75, Steps: 5, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 240, Score: -355.8, Steps: 4, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 241, Score: -310.7, Steps: 6, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 242, Score: -445.8, Steps: 4, Coins: 0, Invalid Moves: 2, Bombs Dropped: 1
Episode: 243, Score: -693.2, Steps: 16, Coins: 0, Invalid Moves: 6, Bombs Dropped: 2
Episode: 244, Score: -355.8, Steps: 4, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 245, Score: -491.29999999999995, Steps: 14, Coins: 0, Invalid Moves: 3, Bombs Dropped: 2
Episode: 246, Score: -415.65, Steps: 7, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 247, Score: -430.70000000000005, Steps: 6, Coins: 0, Invalid Moves: 2, Bombs Dropped: 1
Episode: 248, Score: -528.3, Steps: 14, Coins: 0, Invalid Moves: 3, Bombs Dropped: 2
Episode: 249, Score: -400.8, Steps: 4, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 250, Score: -445.8, Steps: 4, Coins: 0, Invalid Moves: 2, Bombs Dropped: 1
Episode: 221, Score: -611.8, Steps: 24, Coins: 0, Invalid Moves: 4, Bombs Dropped: 3
Episode: 222, Score: -370.75, Steps: 5, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 223, Score: -302.6, Steps: 8, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 224, Score: -310.6, Steps: 8, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 225, Score: -355.6, Steps: 8, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 226, Score: -355.8, Steps: 4, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 227, Score: -355.8, Steps: 4, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 228, Score: -347.7, Steps: 6, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 229, Score: -386.15000000000003, Steps: 17, Coins: 0, Invalid Moves: 1, Bombs Dropped: 2
Episode: 230, Score: -355.8, Steps: 4, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 231, Score: -310.7, Steps: 6, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 232, Score: -543.35, Steps: 13, Coins: 0, Invalid Moves: 3, Bombs Dropped: 2
Episode: 233, Score: -400.8, Steps: 4, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 234, Score: -505.75, Steps: 5, Coins: 0, Invalid Moves: 3, Bombs Dropped: 1
Episode: 235, Score: -400.8, Steps: 4, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 236, Score: -325.55, Steps: 9, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 237, Score: -392.8, Steps: 4, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 238, Score: -310.7, Steps: 6, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 239, Score: -490.7, Steps: 6, Coins: 0, Invalid Moves: 3, Bombs Dropped: 1
Episode: 240, Score: -370.75, Steps: 5, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 241, Score: -310.6, Steps: 8, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 242, Score: -626.9999999999999, Steps: 20, Coins: 0, Invalid Moves: 4, Bombs Dropped: 3
Episode: 243, Score: -325.65, Steps: 7, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 244, Score: -422.7, Steps: 6, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 245, Score: -325.65, Steps: 7, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 246, Score: -385.7, Steps: 6, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 247, Score: -302.7, Steps: 6, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 248, Score: -370.8, Steps: 4, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 249, Score: -347.65, Steps: 7, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 250, Score: -325.65, Steps: 7, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 471, Score: -460.40000000000003, Steps: 12, Coins: 0, Invalid Moves: 2, Bombs Dropped: 1
Episode: 472, Score: -626.4, Steps: 12, Coins: 0, Invalid Moves: 5, Bombs Dropped: 2
Episode: 473, Score: -355.75, Steps: 5, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 474, Score: -566.0999999999999, Steps: 18, Coins: 0, Invalid Moves: 4, Bombs Dropped: 2
Episode: 475, Score: -445.75, Steps: 5, Coins: 0, Invalid Moves: 2, Bombs Dropped: 1
Episode: 476, Score: -460.75, Steps: 5, Coins: 0, Invalid Moves: 2, Bombs Dropped: 1
Episode: 477, Score: -490.75, Steps: 5, Coins: 0, Invalid Moves: 3, Bombs Dropped: 1
Episode: 478, Score: -355.8, Steps: 4, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 479, Score: -325.65, Steps: 7, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 480, Score: -309.6, Steps: 8, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 481, Score: -445.8, Steps: 4, Coins: 0, Invalid Moves: 2, Bombs Dropped: 1
Episode: 482, Score: -385.7, Steps: 6, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 483, Score: -414.4, Steps: 12, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 484, Score: -430.7, Steps: 6, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 485, Score: -370.65000000000003, Steps: 7, Coins: 0, Invalid Moves: 1, Bombs Dropped: 1
Episode: 486, Score: -370.75, Steps: 5, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
Episode: 487, Score: -310.5, Steps: 10, Coins: 0, Invalid Moves: 0, Bombs Dropped: 1
